"Institution","Term","Session","Course ID","Subject","Catalog#","Section","Component","Class Stat","Class Title","Class#","Total Enrollment"
"QNS01","1119","1","003006","ACCT"," 100","01","LEC","Active","FIN & MGR ACCT","2909","24"
"QNS01","1119","1","003006","ACCT"," 100","02","LEC","Active","FIN & MGR ACCT","2910","26"
"QNS01","1119","1","003006","ACCT"," 100","03","LEC","Active","FIN & MGR ACCT","2908","32"
"QNS01","1122","1","003006","ACCT"," 100","01","LEC","Active","FIN & MGR ACCT","4440","0"
"QNS01","1122","1","003006","ACCT"," 100","02","LEC","Active","FIN & MGR ACCT","4442","0"
"QNS01","1122","1","003006","ACCT"," 100","03","LEC","Active","FIN & MGR ACCT","4443","0"
"QNS01","1119","1","003007","ACCT"," 101","01","LEC","Active","INT TH & PR 1","3866","63"
"QNS01","1119","1","003007","ACCT"," 101","02","LEC","Active","INT TH & PR 1","3870","34"
"QNS01","1119","1","003007","ACCT"," 101","03","LEC","Active","INT TH & PR 1","3871","52"
"QNS01","1119","1","003007","ACCT"," 101","04","LEC","Active","INT TH & PR 1","3877","101"
"QNS01","1119","1","003007","ACCT"," 101","05","LEC","Active","INT TH & PR 1","3924","38"
"QNS01","1119","1","003007","ACCT"," 101","06","LEC","Active","INT TH & PR 1","3926","29"
"QNS01","1119","1","003007","ACCT"," 101","07","LEC","Active","INT TH & PR 1","3938","54"
"QNS01","1119","1","003007","ACCT"," 101","08","LEC","Active","INT TH & PR 1","3976","40"
"QNS01","1119","1","003007","ACCT"," 101","09","LEC","Active","INT TH & PR 1","4035","32"
"QNS01","1119","1","003007","ACCT"," 101","10","LEC","Active","INT TH & PR 1","4042","46"
"QNS01","1119","1","003007","ACCT"," 101","11","LEC","Cancelled","INT TH & PR 1","4049","0"
"QNS01","1122","1","003007","ACCT"," 101","01","LEC","Active","INT TH & PR 1","7122","0"
"QNS01","1122","1","003007","ACCT"," 101","02","LEC","Active","INT TH & PR 1","7128","0"
"QNS01","1122","1","003007","ACCT"," 101","03","LEC","Active","INT TH & PR 1","7135","0"
