"Institution","Acad Group","Acad Org","Subject","Catalog","Course Title","Descr of Pre/Co-requisites","Line","Logical Connector","LP","Line Type","Rqs Type","Req Subject","Req Catalog","Min Grade","Min GPA","Min Units","Cond Code","Operator","Value","RP","Allow In-Progress","Allow Trnsfr Crdt","Allow Test Crdt","Allow Othr Crdt","Allow Equiv Course","Consent","Eff Date","Rqrmnt","Value","Institution","Acad Group","Subject","Catalog","Ptrn Type","Course ID","Designation","Parenth","Min Course","Trnsfr Lvl","In GPA crs","Excl In-Progrss","Min Points","Min Units","Valid Beg","Valid End","Term","Assoc","Topic ID","Test ID","Component","Score","Key"
"QNS01","PROV","ACADSP-QC","ACSKL","1003","Fundamentals of Mathematics","","","","","","","","","","","","","","","","","","","","","No Consent","07/17/2013","","","","","","","","","","","","","","","","","","","","","","","","",""
"QNS01","PROV","ACADSP-QC","ACSKL","1504","Prep: Cuny Math Test","","","","","","","","","","","","","","","","","","","","","No Consent","07/17/2013","","","","","","","","","","","","","","","","","","","","","","","","",""
"QNS01","PROV","ACADSP-QC","ACSKL","2003","Esl Read/Writ Devel","","","","","","","","","","","","","","","","","","","","","No Consent","04/03/2013","","","","","","","","","","","","","","","","","","","","","","","","",""
"QNS01","PROV","ACADSP-QC","ACSKL","2004","Esl Read/Writ Devel","","","","","","","","","","","","","","","","","","","","","No Consent","04/03/2013","","","","","","","","","","","","","","","","","","","","","","","","",""
"QNS01","PROV","ACADSP-QC","ACSKL","2202","ESL Writing Development","","","","","","","","","","","","","","","","","","","","","No Consent","04/24/2013","","","","","","","","","","","","","","","","","","","","","","","","",""
"QNS01","PROV","ACADSP-QC","ACSKL","2203","ESL Writing Development","","","","","","","","","","","","","","","","","","","","","No Consent","04/24/2013","","","","","","","","","","","","","","","","","","","","","","","","",""
"QNS01","PROV","ACADSP-QC","ACSKL","2602","ESL Reading Development","","","","","","","","","","","","","","","","","","","","","No Consent","04/04/2013","","","","","","","","","","","","","","","","","","","","","","","","",""
"QNS01","PROV","ACADSP-QC","ACSKL","3002","Academic Reading and Writing","","","","","","","","","","","","","","","","","","","","","No Consent","04/04/2013","","","","","","","","","","","","","","","","","","","","","","","","",""
"QNS01","PROV","ACADSP-QC","ACSKL","3003","Academic Reading and Writing","","","","","","","","","","","","","","","","","","","","","No Consent","04/24/2013","","","","","","","","","","","","","","","","","","","","","","","","",""
"QNS01","PROV","ACADSP-QC","ACSKL","3004","Academic Reading and Writing","","","","","","","","","","","","","","","","","","","","","No Consent","04/24/2013","","","","","","","","","","","","","","","","","","","","","","","","",""
