"Rqrmnt","Eff Date","Line","Dtl Seq","Key","Dtl Type","Incl Mode","Recall","Interp","Rq Group","Rqrmnt","Line","Ref Nbr","Ref Data","Crse Lst","Institution","Career","Cond Code","Operator","Value","Ignore msng tgt","Test ID","Component","Score","Max Age","Select Method","Crse Attr","CrsAtr Val","Condition"
"000001199","01/01/1901","0010","1","0001","CLST","","","A","","","","0","","000000212","QNS01","","NA","","","N","","","0.00","0","","","",""
"000001200","01/01/1901","0010","1","0001","CLST","","","A","","","","0","","000000213","QNS01","","NA","","","N","","","0.00","0","","","",""
"000001201","01/01/1901","0010","1","0001","CLST","","","A","","","","0","","000000214","QNS01","","NA","","","N","","","0.00","0","","","",""
"000001202","01/01/1901","0010","1","0001","CLST","","","A","","","","0","","000000215","QNS01","","NA","","","N","","","0.00","0","","","",""
"000001211","01/01/1901","0010","1","0001","CLST","","","A","","","","0","","000000223","QNS01","","NA","","","N","","","0.00","0","","","",""
"000001225","01/01/1901","0010","1","0001","CLST","","","A","","","","0","","000000236","QNS01","","NA","","","N","","","0.00","0","","","",""
"000001226","01/01/1901","0010","1","0001","CLST","","","A","","","","0","","000000237","QNS01","","NA","EQ","","N","","","0.00","0","","","",""
"000001227","01/01/1901","0010","1","0001","CLST","","","A","","","","0","","000000238","QNS01","","NA","","","N","","","0.00","0","","","",""
"000001228","01/01/1901","0010","1","0001","CLST","","","A","","","","0","","000000239","QNS01","","NA","","","N","","","0.00","0","","","",""
"000001230","10/28/2010","0010","1","0001","COND","","","A","","","","0","","","QNS01","UGRD","PL","EQ","BALA-MIN","N","","","0.00","0","","","",""
"000001231","01/01/1901","0010","1","0001","COND","","","A","","","","0","","","QNS01","UGRD","PL","EQ","BALA-MIN","N","","","0.00","0","","","",""
"000001283","01/01/1901","0010","1","0001","CLST","","","A","","","","0","","000000247","QNS01","","NA","EQ","","N","","","0.00","0","","","",""
"000001310","01/01/1901","0010","1","0001","CLST","","","A","","","","0","","000000251","QNS01","","NA","EQ","","N","","","0.00","0","","","",""
"000001311","01/01/1901","0010","1","0001","CLST","","","A","","","","0","","000000252","QNS01","","NA","EQ","","N","","","0.00","0","","","",""
"000001313","01/01/1901","0010","1","0001","CLST","","","A","","","","0","","000000253","QNS01","","NA","EQ","","N","","","0.00","0","","","",""
"000001314","06/27/2011","0010","1","0001","CLST","","","A","","","","0","","000000254","QNS01","","NA","EQ","","N","","","0.00","0","","","",""
"000001315","06/26/2011","0010","1","0001","CLST","","","A","","","","0","","000000255","QNS01","","NA","EQ","","N","","","0.00","0","","","",""
"000001316","06/26/2011","0010","1","0001","CLST","","","A","","","","0","","000000256","QNS01","","NA","EQ","","N","","","0.00","0","","","",""
"000001318","06/26/2011","0010","1","0001","CLST","","","A","","","","0","","000000257","QNS01","","NA","EQ","","N","","","0.00","0","","","",""
"000001319","09/09/2011","0010","1","0001","CLST","","","A","","","","0","","000000258","QNS01","","NA","EQ","","N","","","0.00","0","","","",""
"000001470","01/01/1901","0010","1","0001","DLST","","PAS","","","","","0","","","QNS01","","NA","EQ","","N","","","0.00","0","","","",""
"000003780","06/19/2018","0010","1","0001","CLST","","","A","","","","0","","000002192","QNS01","","NA","EQ","","N","","","0.00","0","","","",""
"000001372","01/01/1901","0030","1","0003","COND","","","","","","","0","","","QNS01","UGRD","TST","GE","","N","READ EXEMPT","Q","9999.00","999","HS","","",""
"000001373","01/01/1901","0030","1","0003","COND","","","A","","","","0","","","QNS01","UGRD","TST","GE","","N","WRIT EXEMPT","Q","9999.00","999","HS","","",""
"000001374","01/01/1901","0030","1","0003","COND","","","A","","","","0","","","QNS01","UGRD","TST","GE","","N","MATH EXEMPT","E","9999.00","999","HS","","",""
"000001372","01/01/1901","0060","1","0006","COND","","","","","","","0","","","QNS01","UGRD","TST","GE","","N","READ EXEMPT","T","9999.00","999","HS","","",""
"000001373","01/01/1901","0060","1","0006","COND","","","A","","","","0","","","QNS01","UGRD","TST","GE","","N","WRIT EXEMPT","T","9999.00","999","HS","","",""
"000001374","01/01/1901","0060","1","0006","COND","","","A","","","","0","","","QNS01","UGRD","TST","GE","","N","MATH EXEMPT","S","9999.00","999","HS","","",""
"000002063","01/01/1901","0010","1","0001","CLST","","","A","","","","0","","000000852","QNS01","","NA","EQ","","N","","","0.00","0","","","",""
"000002064","01/01/1901","0010","1","0001","CLST","","","A","","","","0","","000000853","QNS01","","NA","EQ","","N","","","0.00","0","","","",""
"000002104","01/01/1901","0010","1","0001","CLST","","","A","","","","0","","000000877","QNS01","","NA","EQ","","N","","","0.00","0","","","",""
"000002126","01/01/1901","0010","1","0001","CLST","","","A","","","","0","","000000904","QNS01","","NA","EQ","","N","","","0.00","0","","","",""
"000002127","01/01/1901","0010","1","0001","CLST","","","A","","","","0","","000000905","QNS01","","NA","EQ","","N","","","0.00","0","","","",""
"000002128","01/01/1901","0010","1","0001","CLST","","","A","","","","0","","000000906","QNS01","","NA","EQ","","N","","","0.00","0","","","",""
"000002135","01/01/1901","0010","1","0001","CLST","","","A","","","","0","","000000915","QNS01","","NA","EQ","","N","","","0.00","0","","","",""
"000002522","01/01/1901","0010","1","0001","CLST","","","A","","","","0","","000001250","QNS01","","NA","EQ","","N","","","0.00","0","","","",""
"000002537","01/01/1901","0010","1","0001","CLST","","","","","","","0","","000001264","QNS01","","","","","N","","","0.00","0","","","",""
"000002550","01/01/1901","0010","1","0001","CLST","","","A","","","","0","","000001280","QNS01","","NA","EQ","","N","","","0.00","0","","","",""
"000002555","01/01/1901","0010","1","0001","CLST","","","A","","","","0","","000001283","QNS01","","NA","EQ","","N","","","0.00","0","","","",""
"000002556","01/01/1901","0010","1","0001","CLST","","","A","","","","0","","000001284","QNS01","","NA","EQ","","N","","","0.00","0","","","",""
"000002557","01/01/1901","0010","1","0001","CLST","","","A","","","","0","","000001285","QNS01","","NA","EQ","","N","","","0.00","0","","","",""
"000002558","01/01/1901","0010","1","0001","CLST","","","A","","","","0","","000001286","QNS01","","NA","EQ","","N","","","0.00","0","","","",""
